"Team","Scoring Offense_Games","Scoring Offense_Goals","Scoring_Off","Scoring Defense_Games","Scoring Defense_Goals Allowed","Scoring_Def","Face-Off Winning Percentage_Games","Face-Off Winning Percentage_FOs Won","Face-Off Winning Percentage_FOs Lost","Face-Off Winning Percentage_TM FOT","FO_Pct","Man-Up Offense_Games","Man-Up Offense_EMO Goals","ManUp_Att","ManUp_Pct","Man-Down Defense_Games","ManDown_GA","Man-Down Defense_OPP ATT","ManDown_Pct","Win_W","Win_L","Win_Pct","Scoring Margin_Games","Scoring Margin_Goals","Scoring Margin_Goals Allowed","Margin","Assists Per Game_Games","Assists Per Game_Assists","Ast_Per_Game","Saves Per Game_Games","Saves Per Game_Saves","Saves Per Game_Per Game","Points Per Game_Games","Points Per Game_Goals","Points Per Game_Assists","Points Per Game_Points","Points Per Game_Per Game","Ground Balls Per Game_Games","Ground Balls Per Game_Ground Balls","GB_Per_Game","Turnovers Per Game_Games","Turnovers Per Game_TO","TO_Per_Game","Caused Turnovers Per Game_Games","Caused Turnovers Per Game_CT","CTO_Per_Game","Shot Percentage_Games","Shot Percentage_Goals","Shot Percentage_Shots","Shot_Pct","Clearing Percentage_Games","Clearing Percentage_Clears","Clearing Percentage_Att","Clear_Pct","Season","Scraped_Date","Goalie_Saves","Goalie_GA","Goalie_SV_Pct","USILA_Rank","IL_Rank","Conference","Off_Rating","Def_Rating","Spc_Rating","Power_Rating","Conf_Adj","Pace","Power_Rank","Model_ID","Model_Name","Ratings_Date"
"Maryland",5,61,12.2,5,53,10.6,5,82,49,131,0.626,5,2,8,0.25,5,1,9,0.889,2,3,0.4,5,61,53,1.6,5,34,6.8,5,52,10.4,5,61,34,95,19,5,141,28.2,5,74,14.8,5,31,6.2,5,61,181,0.337,5,89,98,0.908,2026,2026-03-16,50,51,0.495,11,11,"Big Ten",1.94,1.1,7.49,2.55,0.7363,11.4,22,"v5","Margin of Victory","2026-03-28"
"Massachusetts",8,109,13.62,8,72,9,8,71,135,206,0.345,8,10,22,0.455,8,9,27,0.667,7,1,0.875,8,109,72,4.62,8,64,8,8,113,14.12,8,109,64,173,21.62,8,189,23.62,8,99,12.38,8,70,8.75,8,109,299,0.365,8,161,181,0.89,2026,2026-03-16,109,70,0.6089,NA,NA,"MAC",4.99,4.58,-9.92,6.28,1.1206,11.31,10,"v5","Margin of Victory","2026-03-28"
"Mercer",7,78,11.14,7,100,14.29,7,102,101,203,0.502,7,2,15,0.133,7,5,8,0.375,3,4,0.429,7,78,100,-3.14,7,33,4.71,7,79,11.29,7,78,33,111,15.86,7,215,30.71,7,128,18.29,7,49,7,7,78,303,0.257,7,130,155,0.839,2026,2026-03-16,67,90,0.4268,NA,NA,"Southern",-0.33,-6.91,-0.19,-4.72,-0.8413,12.71,64,"v5","Margin of Victory","2026-03-28"
"Merrimack",7,63,9,7,100,14.29,7,96,90,186,0.516,7,7,20,0.35,7,9,20,0.55,1,6,0.143,7,63,100,-5.29,7,38,5.43,7,88,12.57,7,63,38,101,14.43,7,179,25.57,7,136,19.43,7,43,6.14,7,63,234,0.269,7,107,148,0.723,2026,2026-03-16,NA,NA,0.513708955223881,NA,NA,"MAAC",-4.92,-6.91,0.68,-6.81,-0.7271,11.64,67,"v5","Margin of Victory","2026-03-28"
"Michigan",7,89,12.71,7,75,10.71,7,103,87,190,0.542,7,8,19,0.421,7,7,22,0.682,3,4,0.429,7,89,75,2,7,57,8.14,7,70,10,7,89,57,146,20.86,7,200,28.57,7,114,16.29,7,55,7.86,7,89,282,0.316,7,123,138,0.891,2026,2026-03-16,67,72,0.482,NA,NA,"Big Ten",3.04,0.86,2.29,2.97,0.7363,11.71,18,"v5","Margin of Victory","2026-03-28"
"Monmouth",6,65,10.83,6,48,8,6,82,50,132,0.621,6,2,11,0.182,6,5,17,0.706,3,3,0.5,6,65,48,2.83,6,35,5.83,6,62,10.33,6,65,35,100,16.67,6,155,25.83,6,81,13.5,6,40,6.67,6,65,243,0.267,6,109,129,0.845,2026,2026-03-16,58,40,0.5918,NA,NA,"CAA",-1,6.75,7.18,2.22,-0.3808,9.41,26,"v5","Margin of Victory","2026-03-28"
"Mount St. Mary's",6,48,8,6,80,13.33,6,61,85,146,0.418,6,4,17,0.235,6,11,20,0.45,1,5,0.167,6,48,80,-5.33,6,32,5.33,6,75,12.5,6,48,32,80,13.33,6,150,25,6,77,12.83,6,37,6.17,6,48,177,0.271,6,101,122,0.828,2026,2026-03-16,75,80,0.4839,NA,NA,"MAAC",-7.06,-4.83,-5.39,-6.85,-0.7271,10.66,68,"v5","Margin of Victory","2026-03-28"
"NJIT",7,95,13.57,7,88,12.57,7,116,88,204,0.569,7,5,16,0.312,7,7,17,0.588,3,4,0.429,7,95,88,1,7,56,8,7,100,14.29,7,95,56,151,21.57,7,220,31.43,7,124,17.71,7,57,8.14,7,95,318,0.299,7,147,174,0.845,2026,2026-03-16,100,88,0.5319,NA,NA,"America East",4.88,-3.18,3.96,0.32,-0.3685,13.07,33,"v5","Margin of Victory","2026-03-28"
"Navy",7,92,13.14,7,78,11.14,7,110,85,195,0.564,7,8,21,0.381,7,6,18,0.667,5,2,0.714,7,92,78,2,7,52,7.43,7,65,9.29,7,92,52,144,20.57,7,237,33.86,7,117,16.71,7,57,8.14,7,92,300,0.307,7,135,150,0.9,2026,2026-03-16,56,64,0.4667,NA,NA,"Patriot League",3.96,-0.07,3.65,2.33,0.2916,12.14,23,"v5","Margin of Victory","2026-03-28"
"North Carolina",7,110,15.71,7,62,8.86,7,129,68,197,0.655,7,11,24,0.458,7,8,22,0.636,6,1,0.857,7,110,62,6.86,7,57,8.14,7,64,9.14,7,110,57,167,23.86,7,275,39.29,7,98,14,7,43,6.14,7,110,371,0.296,7,134,152,0.882,2026,2026-03-16,51,55,0.4811,2,5,"ACC",9.47,4.88,9.29,9.2,1.5089,12.29,3,"v5","Margin of Victory","2026-03-28"
"Notre Dame",5,80,16,5,46,9.2,5,78,66,144,0.542,5,6,10,0.6,5,7,12,0.417,5,0,1,5,80,46,6.8,5,48,9.6,5,49,9.8,5,80,48,128,25.6,5,164,32.8,5,66,13.2,5,52,10.4,5,80,206,0.388,5,101,111,0.91,2026,2026-03-16,45,40,0.5294,1,1,"ACC",10.09,4.14,2.29,9.13,1.5089,12.6,4,"v5","Margin of Victory","2026-03-28"
"Ohio St.",8,98,12.25,8,52,6.5,8,112,69,181,0.619,8,12,22,0.545,8,4,15,0.733,7,1,0.875,8,98,52,5.75,8,56,7,8,75,9.38,8,98,56,154,19.25,8,281,35.12,8,130,16.25,8,75,9.38,8,98,328,0.299,8,176,192,0.917,2026,2026-03-16,69,48,0.5897,9,7,"Big Ten",2.05,10.01,7.06,6.91,0.7363,9.38,7,"v5","Margin of Victory","2026-03-28"
"Penn",6,65,10.83,6,54,9,6,83,55,138,0.601,6,5,11,0.455,6,8,23,0.652,3,3,0.5,6,65,54,1.83,6,34,5.67,6,70,11.67,6,65,34,99,16.5,6,163,27.17,6,95,15.83,6,36,6,6,65,239,0.272,6,104,119,0.874,2026,2026-03-16,70,54,0.5645,19,19,"Ivy League",-1,4.58,5.95,2.32,0.4098,9.91,24,"v5","Margin of Victory","2026-03-28"
"Penn St.",6,91,15.17,6,61,10.17,6,110,63,173,0.636,6,5,8,0.625,6,7,10,0.3,4,2,0.667,6,91,61,5,6,58,9.67,6,51,8.5,6,91,58,149,24.83,6,233,38.83,6,115,19.17,6,63,10.5,6,91,236,0.386,6,121,147,0.823,2026,2026-03-16,44,50,0.4681,15,9,"Big Ten",8.31,2.04,8.11,6.12,0.7363,12.67,11,"v5","Margin of Victory","2026-03-28"
"Princeton",5,62,12.4,5,50,10,5,66,65,131,0.504,5,1,6,0.167,5,4,10,0.6,4,1,0.8,5,62,50,2.4,5,40,8,5,69,13.8,5,62,40,102,20.4,5,157,31.4,5,68,13.6,5,47,9.4,5,62,191,0.325,5,100,112,0.893,2026,2026-03-16,68,47,0.5913,10,3,"Ivy League",2.37,2.41,-0.07,2.92,0.4098,11.2,20,"v5","Margin of Victory","2026-03-28"
"Providence",7,74,10.57,7,71,10.14,7,81,87,168,0.482,7,7,30,0.233,7,6,13,0.538,3,4,0.429,7,74,71,0.43,7,49,7,7,90,12.86,7,74,49,123,17.57,7,175,25,7,118,16.86,7,54,7.71,7,74,273,0.271,7,126,148,0.851,2026,2026-03-16,87,68,0.5613,NA,NA,"Big East",-1.55,2.1,-1.43,0.12,-0.0923,10.36,35,"v5","Margin of Victory","2026-03-28"
"Queens (NC)",7,72,10.29,7,73,10.43,7,73,99,172,0.424,7,8,19,0.421,7,6,35,0.829,3,4,0.429,7,72,73,-0.14,7,43,6.14,7,69,9.86,7,72,43,115,16.43,7,186,26.57,7,105,15,7,50,7.14,7,72,224,0.321,7,125,145,0.862,2026,2026-03-16,NA,NA,0.513708955223881,NA,NA,"Atlantic Sun",-2.15,1.47,-5.02,-0.46,-0.0829,10.36,42,"v5","Margin of Victory","2026-03-28"
"Quinnipiac",6,57,9.5,6,95,15.83,6,66,107,173,0.382,6,8,14,0.571,6,10,21,0.524,1,5,0.167,6,57,95,-6.33,6,27,4.5,6,64,10.67,6,57,27,84,14,6,153,25.5,6,92,15.33,6,62,10.33,6,57,204,0.279,6,100,115,0.87,2026,2026-03-16,55,89,0.3819,NA,NA,"MAAC",-3.85,-10.26,-7.62,-7.9,-0.7271,12.66,71,"v5","Margin of Victory","2026-03-28"
"Richmond",6,88,14.67,6,48,8,6,80,78,158,0.506,6,5,12,0.417,6,2,11,0.818,6,0,1,6,88,48,6.67,6,45,7.5,6,66,11,6,88,45,133,22.17,6,202,33.67,6,73,12.17,6,61,10.17,6,88,275,0.32,6,123,135,0.911,2026,2026-03-16,66,47,0.5841,4,2,"Atlantic 10",7.24,6.75,0.06,7.04,0.159,11.34,6,"v5","Margin of Victory","2026-03-28"
"Robert Morris",8,77,9.62,8,93,11.62,8,90,107,197,0.457,8,9,24,0.375,8,14,30,0.533,5,3,0.625,8,77,93,-2,8,46,5.75,8,102,12.75,8,77,46,123,15.38,8,266,33.25,8,147,18.38,8,62,7.75,8,77,265,0.291,8,160,192,0.833,2026,2026-03-16,89,84,0.5145,NA,NA,"NEC",-3.59,-1.11,-2.98,-2.67,-0.2581,10.62,55,"v5","Margin of Victory","2026-03-28"
"Rutgers",8,94,11.75,8,76,9.5,8,99,98,197,0.503,8,3,9,0.333,8,2,13,0.846,6,2,0.75,8,94,76,2.25,8,52,6.5,8,91,11.38,8,94,52,146,18.25,8,241,30.12,8,136,17,8,71,8.88,8,94,342,0.275,8,160,183,0.874,2026,2026-03-16,83,72,0.5355,14,17,"Big Ten",0.98,3.49,-0.13,3.24,0.7363,10.62,17,"v5","Margin of Victory","2026-03-28"
"Sacred Heart",6,84,14,6,66,11,6,94,71,165,0.57,6,5,17,0.294,6,2,11,0.818,6,0,1,6,84,66,3,6,49,8.17,6,78,13,6,84,49,133,22.17,6,182,30.33,6,94,15.67,6,36,6,6,84,271,0.31,6,122,137,0.891,2026,2026-03-16,78,66,0.5417,NA,NA,"MAAC",5.8,0.23,4.02,1.9,-0.7271,12.5,27,"v5","Margin of Victory","2026-03-28"
"Saint Joseph's",5,41,8.2,5,59,11.8,5,53,64,117,0.453,5,1,15,0.067,5,8,18,0.556,3,2,0.6,5,41,59,-3.6,5,22,4.4,5,46,9.2,5,41,22,63,12.6,5,134,26.8,5,75,15,5,42,8.4,5,41,182,0.225,5,88,101,0.871,2026,2026-03-16,45,57,0.4412,NA,NA,"Atlantic 10",-6.64,-1.5,-3.23,-3.75,0.159,10,62,"v5","Margin of Victory","2026-03-28"
"Siena",7,91,13,7,78,11.14,7,102,87,189,0.54,7,11,25,0.44,7,10,19,0.474,5,2,0.714,7,91,78,1.86,7,51,7.29,7,78,11.14,7,91,51,142,20.29,7,242,34.57,7,141,20.14,7,66,9.43,7,91,288,0.316,7,146,185,0.789,2026,2026-03-16,76,78,0.4935,NA,NA,"MAAC",3.66,-0.07,2.17,0.7,-0.7271,12.07,31,"v5","Margin of Victory","2026-03-28"
