"Team","Scoring Offense_Games","Scoring Offense_Goals","Scoring_Off","Scoring Defense_Games","Scoring Defense_Goals Allowed","Scoring_Def","Face-Off Winning Percentage_Games","Face-Off Winning Percentage_FOs Won","Face-Off Winning Percentage_FOs Lost","Face-Off Winning Percentage_TM FOT","FO_Pct","Man-Up Offense_Games","Man-Up Offense_EMO Goals","ManUp_Att","ManUp_Pct","Man-Down Defense_Games","ManDown_GA","Man-Down Defense_OPP ATT","ManDown_Pct","Win_W","Win_L","Win_Pct","Scoring Margin_Games","Scoring Margin_Goals","Scoring Margin_Goals Allowed","Margin","Assists Per Game_Games","Assists Per Game_Assists","Ast_Per_Game","Saves Per Game_Games","Saves Per Game_Saves","Saves Per Game_Per Game","Points Per Game_Games","Points Per Game_Goals","Points Per Game_Assists","Points Per Game_Points","Points Per Game_Per Game","Ground Balls Per Game_Games","Ground Balls Per Game_Ground Balls","GB_Per_Game","Turnovers Per Game_Games","Turnovers Per Game_TO","TO_Per_Game","Caused Turnovers Per Game_Games","Caused Turnovers Per Game_CT","CTO_Per_Game","Shot Percentage_Games","Shot Percentage_Goals","Shot Percentage_Shots","Shot_Pct","Clearing Percentage_Games","Clearing Percentage_Clears","Clearing Percentage_Att","Clear_Pct","Season","Scraped_Date","Goalie_Saves","Goalie_GA","Goalie_SV_Pct","USILA_Rank","IL_Rank","RPI_Rank","RPI_Value","Conference","Games_Played","SOS","SOS_High","SOS_Low","SOS_Rank","Off_Rating","Def_Rating","Spc_Rating","Power_Rating","Conf_Adj","Pace","Power_Rank","Model_ID","Model_Name","Ratings_Date"
"Colgate",7,76,10.86,7,98,14,7,90,106,196,0.459,7,12,23,0.522,7,10,21,0.524,1,6,0.143,7,76,98,-3.14,7,38,5.43,7,96,13.71,7,76,38,114,16.29,7,229,32.71,7,140,20,7,68,9.71,7,76,268,0.284,7,148,189,0.783,2026,2026-03-21,93,92,0.5027,NA,NA,55,NA,"Patriot League",7,2.1,5.55,-1.08,15,-0.74,-5.54,-2.78,-3.2,0.1578,12.43,57,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Cornell",6,75,12.5,6,63,10.5,6,95,62,157,0.605,6,9,15,0.6,6,5,16,0.688,4,2,0.667,6,75,63,2,6,49,8.17,6,71,11.83,6,75,49,124,20.67,6,200,33.33,6,113,18.83,6,41,6.83,6,75,238,0.315,6,111,135,0.822,2026,2026-03-21,68,62,0.5231,3,10,16,NA,"Ivy League",7,2.877,9.1,-0.76,6,1.97,0.74,4.66,2.13,0.1595,11.5,22,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Dartmouth",6,77,12.83,6,66,11,6,88,73,161,0.547,6,7,17,0.412,6,5,13,0.615,4,2,0.667,6,77,66,1.83,6,44,7.33,6,72,12,6,77,44,121,20.17,6,211,35.17,6,129,21.5,6,76,12.67,6,77,236,0.326,6,119,148,0.804,2026,2026-03-21,70,63,0.5263,NA,NA,19,NA,"Ivy League",7,1.893,11.22,-6.7,19,0.15,2.13,2.8,2.02,0.1595,11.91,23,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Delaware",7,48,6.86,7,94,13.43,7,64,101,165,0.388,NA,NA,0,0,7,8,17,0.529,1,6,0.143,7,48,94,-6.57,7,23,3.29,7,78,11.14,7,48,23,71,10.14,7,182,26,7,108,15.43,7,48,6.86,7,48,249,0.193,7,107,138,0.775,2026,2026-03-21,57,63,0.475,NA,NA,58,NA,"CAA",7,3.011,11.22,-2.31,5,-12.39,-6,-9.06,-9.21,-0.476,10.14,73,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Denver",7,78,11.14,7,51,7.29,7,70,84,154,0.455,7,9,23,0.391,7,3,17,0.824,4,3,0.571,7,78,51,3.86,7,52,7.43,7,93,13.29,7,78,52,130,18.57,7,197,28.14,7,109,15.57,7,50,7.14,7,78,242,0.322,7,145,165,0.879,2026,2026-03-21,89,50,0.6403,17,14,21,NA,"Summit League",7,2.666,11.22,-8.51,9,2.51,7.88,2.79,7.1,0.7818,9.21,7,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Detroit Mercy",7,53,7.57,7,98,14,7,83,90,173,0.48,7,9,22,0.409,7,11,30,0.633,1,6,0.143,7,53,98,-6.43,7,26,3.71,7,100,14.29,7,53,26,79,11.29,7,220,31.43,7,134,19.14,7,58,8.29,7,53,198,0.268,7,144,171,0.842,2026,2026-03-21,100,98,0.5051,NA,NA,67,NA,"Horizon League",8,-0.749,8.4,-13.04,48,-6.66,-5.09,-0.92,-5.81,-0.5141,10.79,66,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Drexel",8,91,11.38,8,70,8.75,8,103,85,188,0.548,8,7,26,0.269,8,5,15,0.667,5,3,0.625,8,91,70,2.62,8,61,7.62,8,82,10.25,8,91,61,152,19,8,236,29.5,8,138,17.25,8,48,6,8,91,296,0.307,8,148,173,0.855,2026,2026-03-21,82,69,0.543,NA,NA,46,NA,"CAA",8,-2.482,3.2,-9.99,64,0.22,3.07,2.67,1,-0.476,10.07,31,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Duke",7,129,18.43,7,48,6.86,7,120,81,201,0.597,7,9,15,0.6,7,5,23,0.783,7,0,1,7,129,48,11.57,7,75,10.71,7,63,9,7,129,75,204,29.14,7,272,38.86,7,118,16.86,7,73,10.43,7,129,367,0.351,7,153,173,0.884,2026,2026-03-21,52,36,0.5909,5,6,5,NA,"ACC",7,0.426,11.22,-8.51,34,12.59,9.89,10.31,12.39,0.8544,12.64,1,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Fairfield",8,107,13.38,8,90,11.25,8,121,101,222,0.545,8,3,19,0.158,8,14,24,0.417,4,4,0.5,8,107,90,2.12,8,61,7.62,8,67,8.38,8,107,61,168,21,8,231,28.88,8,126,15.75,8,70,8.75,8,107,335,0.319,8,146,164,0.89,2026,2026-03-21,63,82,0.4345,NA,NA,43,NA,"MAAC",8,-1.971,2.52,-13.04,63,2.43,-2.52,-0.77,-1.72,-0.3947,12.32,50,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Georgetown",6,70,11.67,6,63,10.5,6,70,86,156,0.449,6,1,9,0.111,6,4,8,0.5,3,3,0.5,6,70,63,1.17,6,54,9,6,72,12,6,70,54,124,20.67,6,181,30.17,6,97,16.17,6,49,8.17,6,70,207,0.338,6,121,141,0.858,2026,2026-03-21,72,63,0.5333,11,13,12,NA,"Big East",6,4.342,9.1,-1.08,2,-0.37,-0.63,-1.12,-1.06,-0.1833,11.09,47,"v3","Defense Heavy (30/50/20)","2026-03-21"
